,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE
263,HWM,0.9524617996604414,0.5636672325976231,0.1480565393220787,0.9626485568760611,0.565365025466893,0.1482696911593051,0.9524617996604414,0.5551782682512734,0.15735639902427742,0.9524617996604414,0.565365025466893,0.15144674875554923
264,NOC,0.8759036144578313,0.5487951807228916,0.1493017581680766,0.8801204819277109,0.5518072289156627,0.1484014952406055,0.8891566265060241,0.5524096385542169,2.1290485610020466,0.8831325301204819,0.5493975903614458,0.14826795099205403
265,LHX,0.9001280409731114,0.5416133162612036,0.18865718627910136,0.9001280409731114,0.5416133162612036,0.18856256245854655,0.9102564102564102,0.5403329065300896,29.48654228986795,0.9014084507042254,0.5416133162612036,0.18851173645666988
266,TDG,0.8777108433734939,0.5632530120481928,0.2573375851768186,0.8746987951807229,0.5614457831325301,0.25745970901120746,0.880722891566265,0.5566265060240964,1.357222100151506,0.8722891566265061,0.5578313253012048,0.26285779254097025
267,BA,0.8819277108433735,0.5487951807228916,0.27392819099762405,0.8849397590361445,0.5487951807228916,0.27361724205755017,0.8891566265060241,0.5451807228915663,0.2741209318861557,0.8837349397590362,0.5463855421686747,0.27291380189628067
268,FDX,0.8686746987951808,0.5644578313253013,0.1900569743366718,0.8728915662650603,0.5620481927710843,0.18988755614549946,0.8734939759036144,0.5650602409638554,0.19222744132305702,0.8674698795180723,0.5644578313253013,0.1911182715184247
269,CHRW,0.8837349397590362,0.5457831325301205,0.1373372703680618,0.9018072289156627,0.5469879518072289,0.13506011599029055,0.8866787221217601,0.5433734939759036,23.308507605786513,0.8897590361445783,0.5457831325301205,0.1377288157548312
270,EXPD,0.8945783132530121,0.5656626506024096,0.12744590582249735,0.8981927710843374,0.563855421686747,0.12738730898125786,0.9017480409885473,0.563855421686747,0.5042917020629768,0.8909638554216868,0.5644578313253013,0.12848916132749164
271,UPS,0.8795180722891566,0.5566265060240964,0.1453575325757297,0.8909638554216868,0.5566265060240964,0.1441970617725282,0.8813253012048192,0.5596385542168675,0.3740732945522903,0.8783132530120482,0.5572289156626506,0.14551241263461495
272,LUV,0.8867469879518072,0.5343373493975904,0.2121102524513456,0.8873493975903615,0.5397590361445783,0.21142415296109882,0.8957831325301204,0.5337349397590362,0.5481259341961919,0.8837349397590362,0.5343373493975904,0.21281946011495553
