,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE,EGARCH_CI,EGARCH_Direction,EGARCH_RMSE
193,LNC,0.9795180722891568,0.5277108433734939,0.2057605248131943,0.980722891566265,0.5271084337349398,0.2106539629390032,0.9752863170584688,0.5265060240963856,2449.21926641275,0.9716867469879518,0.536144578313253,0.2720187788829354,0.8532289628180039,0.5180722891566265,1.5672030242433081e+152
194,WRB,0.9861278648974668,0.5470446320868516,0.0766633696287847,0.9867310012062728,0.5536791314837153,0.0759943256342133,0.9836759371221282,0.5440289505428226,28.86676552280251,0.9698431845597104,0.5518697225572979,0.1162553645246652,0.8703939008894537,0.5386007237635706,5.227159921363014e+151
195,AIG,0.9783132530120482,0.553012048192771,0.1071613937777714,0.9789156626506024,0.555421686746988,0.108391162710009,0.9734620024125452,0.5313253012048192,3794.140703580064,0.960843373493976,0.5518072289156627,0.1657739881987291,0.8860363180964308,0.55,7.387865906256724e+151
196,MRNA,0.9879518072289156,0.5509309967141293,0.2632412277091391,0.9857612267250822,0.5421686746987951,0.2693535614911408,0.9901315789473684,0.5432639649507119,101851.4228659708,0.9693318729463308,0.5279299014238773,0.3180808665274909,0.8446927374301676,0.5268346111719606,7.044053755978769e+151
197,AMGN,0.9728915662650602,0.5427710843373494,0.0928730079930243,0.9704819277108434,0.5469879518072289,0.091286724900612,0.9716183574879228,0.5457831325301205,32274.93641898132,0.958433734939759,0.5337349397590362,0.1155755959158889,0.8068107400130976,0.5349397590361445,1.2796159109142532e+152
198,VRTX,0.9740963855421688,0.5433734939759036,0.1664749234047249,0.9759036144578314,0.5518072289156627,0.1586279237420202,0.9746070133010882,0.5457831325301205,1333.2040306166116,0.9596385542168676,0.5445783132530121,0.1833106738556289,0.8243073047858942,0.55,1.2796159109142532e+152
199,BIIB,0.958433734939759,0.519277108433735,0.3500984706175051,0.966867469879518,0.519277108433735,0.3309455797098739,0.9607250755287008,0.516867469879518,1049982.0510700387,0.9560240963855422,0.5246987951807229,0.3658919720771256,0.764404609475032,0.5240963855421686,1.2796159109142532e+152
200,REGN,0.9927710843373494,0.5445783132530121,0.1168064477484939,0.9933734939759036,0.5373493975903615,0.1173370439653966,0.9909584086799276,0.5451807228915663,0.2013152907528152,0.9843373493975904,0.5337349397590362,0.136231796070565,0.7762237762237763,0.5301204819277109,1.0448020161622054e+152
201,ABBV,0.9716867469879518,0.5355421686746988,0.1249149563210555,0.9771084337349396,0.5331325301204819,0.1211404948596913,0.974065138721351,0.5355421686746988,60544.10304749008,0.9566265060240964,0.5246987951807229,0.1451397690867917,0.7847769028871391,0.516867469879518,1.2796159109142532e+152
202,GILD,0.9819277108433736,0.5313253012048192,0.1023206034043628,0.9801204819277108,0.5421686746987951,0.1022292931094976,0.9788774894387448,0.5349397590361445,0.2443399494677951,0.9680722891566264,0.5307228915662651,0.1225859702743015,0.7843264248704663,0.5174698795180723,1.1681241655837625e+152
203,INCY,0.983132530120482,0.5590361445783133,0.1533392007934371,0.9855421686746988,0.5469879518072289,0.1476007809676236,0.9867310012062728,0.5451807228915663,8047.8593197878945,0.9789156626506024,0.5463855421686747,0.1651560371905396,0.7879973907371167,0.5253012048192771,1.2796159109142532e+152
