,Ticker,Start,End,NA_Count,Days,Percent_NA
265,LMT,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
266,TXT,2016-01-04,2022-12-30,0,2552,0.0
267,RTX,2020-04-06,2022-12-30,0,998,0.0
268,HII,2016-01-04,2022-12-30,0,2552,0.0
269,HWM,2020-04-06,2022-12-30,96,998,0.001503006012024048
270,NOC,2016-01-04,2022-12-30,0,2552,0.0
271,LHX,2019-07-02,2022-12-30,0,1277,0.0
272,TDG,2016-01-04,2022-12-30,0,2552,0.0
273,BA,2016-01-04,2022-12-30,0,2552,0.0
274,FDX,2016-01-04,2022-12-30,0,2552,0.0
275,CHRW,2016-01-04,2022-12-30,0,2552,0.0
276,EXPD,2016-01-04,2022-12-30,60,2552,0.000367358934169279
277,UPS,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
278,LUV,2016-01-04,2022-12-30,0,2552,0.0
279,DAL,2016-01-04,2022-12-30,0,2552,0.0
280,UAL,2016-01-04,2022-12-30,0,2552,0.0
281,AAL,2016-01-04,2022-12-30,0,2552,0.0
282,ALK,2016-01-04,2022-12-30,0,2552,0.0
283,JCI,2016-01-04,2022-12-30,204,2552,0.0012490203761755486
284,ALLE,2016-01-04,2022-12-30,168,2552,0.0010286050156739811
285,AOS,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
286,TT,2020-03-03,2022-12-30,12,1032,0.0001816860465116279
287,MAS,2016-01-04,2022-12-30,0,2552,0.0
288,CARR,2020-04-15,2022-12-30,0,989,0.0
289,CPRT,2016-01-04,2022-12-30,816,2552,0.004996081504702194
290,RSG,2016-01-04,2022-12-30,4236,2552,0.025935540752351098
291,WM,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
292,ROL,2016-01-04,2022-12-30,3108,2552,0.019029192789968653
293,CTAS,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
294,PWR,2016-01-04,2022-12-30,0,2552,0.0
295,ROK,2016-01-04,2022-12-30,0,2552,0.0
296,AME,2016-01-04,2022-12-30,324,2552,0.0019837382445141065
297,GNRC,2016-01-04,2022-12-30,0,2552,0.0
298,EMR,2016-01-04,2022-12-30,60,2552,0.000367358934169279
299,ETN,2016-01-04,2022-12-30,0,2552,0.0
300,GE,2016-01-04,2022-12-30,0,2552,0.0
301,HON,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
302,MMM,2016-01-04,2022-12-30,0,2552,0.0
303,PH,2016-01-04,2022-12-30,0,2552,0.0
304,DOV,2016-01-04,2022-12-30,36,2552,0.0002204153605015674
305,WAB,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
306,OTIS,2020-04-15,2022-12-30,12,989,0.00018958543983822043
307,CMI,2016-01-04,2022-12-30,0,2552,0.0
308,CAT,2016-01-04,2022-12-30,0,2552,0.0
309,IR,2016-01-04,2022-12-30,36,2552,0.0002204153605015674
310,IEX,2016-01-04,2022-12-30,168,2552,0.0010286050156739811
311,SNA,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
312,NDSN,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
313,SWK,2016-01-04,2022-12-30,0,2552,0.0
314,PNR,2016-01-04,2022-12-30,264,2552,0.0016163793103448276
315,PCAR,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
316,ITW,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
317,XYL,2016-01-04,2022-12-30,564,2552,0.0034531739811912224
318,DE,2016-01-04,2022-12-30,0,2552,0.0
319,FTV,2016-09-23,2022-12-30,492,2289,0.003358453473132372
320,CSGP,2016-01-04,2022-12-30,1380,2552,0.008449255485893417
321,J,2019-12-10,2022-12-30,0,1116,0.0
322,LDOS,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
323,RHI,2016-01-04,2022-12-30,216,2552,0.0013224921630094044
324,VRSK,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
325,EFX,2016-01-04,2022-12-30,36,2552,0.0002204153605015674
326,UNP,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
327,NSC,2016-01-04,2022-12-30,0,2552,0.0
328,JBHT,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
329,CSX,2016-01-04,2022-12-30,0,2552,0.0
330,ODFL,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
331,URI,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
332,GWW,2016-01-04,2022-12-30,0,2552,0.0
333,FAST,2016-01-04,2022-12-30,0,2552,0.0
334,ANET,2016-01-04,2022-12-30,0,2552,0.0
335,JNPR,2016-01-04,2022-12-30,0,2552,0.0
336,MSI,2016-01-04,2022-12-30,0,2552,0.0
337,CSCO,2016-01-04,2022-12-30,0,2552,0.0
338,FFIV,2016-01-04,2022-12-30,0,2552,0.0
339,ZBRA,2016-01-04,2022-12-30,0,2552,0.0
340,APH,2016-01-04,2022-12-30,348,2552,0.002130681818181818
341,TDY,2016-01-04,2022-12-30,312,2552,0.0019102664576802508
342,GLW,2016-01-04,2022-12-30,0,2552,0.0
343,CDW,2016-01-04,2022-12-30,348,2552,0.002130681818181818
344,TEL,2016-01-04,2022-12-30,168,2552,0.0010286050156739811
345,KEYS,2016-01-04,2022-12-30,336,2552,0.0020572100313479623
346,TRMB,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
347,IBM,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
348,FLT,2016-01-04,2022-12-30,0,2552,0.0
349,AKAM,2016-01-04,2022-12-30,0,2552,0.0
350,DXC,2017-05-03,2022-12-30,0,2067,0.0
351,ADP,2016-01-04,2022-12-30,60,2552,0.000367358934169279
352,IT,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
353,GPN,2016-01-04,2022-12-30,0,2552,0.0
354,FIS,2016-01-04,2022-12-30,60,2552,0.000367358934169279
355,VRSN,2016-01-04,2022-12-30,0,2552,0.0
356,FISV,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
357,MA,2016-01-04,2022-12-30,0,2552,0.0
358,ACN,2016-01-04,2022-12-30,0,2552,0.0
