,Ticker,Start,End,NA_Count
67,LOW,2016-01-04,2022-12-30,0
68,ROST,2016-01-04,2022-12-30,0
69,BBWI,2021-08-04,2022-12-30,0
70,AAP,2016-01-04,2022-12-30,0
71,AZO,2016-01-04,2022-12-30,0
72,BBY,2016-01-04,2022-12-30,48
73,KMX,2016-01-04,2022-12-30,0
74,ULTA,2016-01-04,2022-12-30,0
75,TJX,2016-01-04,2022-12-30,0
76,VFC,2016-01-04,2022-12-30,12
77,NKE,2016-01-04,2022-12-30,0
78,TPR,2017-10-31,2022-12-30,0
79,RL,2016-01-04,2022-12-30,0
80,TAP,2016-01-04,2022-12-30,0
81,KDP,2018-07-11,2022-12-30,60
82,PEP,2016-01-04,2022-12-30,60
83,STZ,2016-01-04,2022-12-30,0
84,MNST,2016-01-04,2022-12-30,48
85,KO,2016-01-04,2022-12-30,348
86,COST,2016-01-04,2022-12-30,12
87,WBA,2016-01-04,2022-12-30,0
88,KR,2016-01-04,2022-12-30,0
89,SYY,2016-01-04,2022-12-30,12
90,WMT,2016-01-04,2022-12-30,0
91,HRL,2016-01-04,2022-12-30,60
92,CAG,2016-01-04,2022-12-30,60
93,K,2016-01-04,2022-12-30,36
94,LW,2017-01-11,2022-12-30,132
95,ADM,2016-01-04,2022-12-30,12
96,GIS,2016-01-04,2022-12-30,48
97,CPB,2016-01-04,2022-12-30,48
98,SJM,2016-01-04,2022-12-30,48
99,MDLZ,2016-01-04,2022-12-30,0
100,TSN,2016-01-04,2022-12-30,0
101,KHC,2016-01-04,2022-12-30,0
102,MKC,2016-01-04,2022-12-30,432
103,HSY,2016-01-04,2022-12-30,72
104,CHD,2016-01-04,2022-12-30,648
105,KMB,2016-01-04,2022-12-30,48
106,CLX,2016-01-04,2022-12-30,24
107,PG,2016-01-04,2022-12-30,372
108,CL,2016-01-04,2022-12-30,0
109,EL,2016-01-04,2022-12-30,0
110,PM,2016-01-04,2022-12-30,48
111,MO,2016-01-04,2022-12-30,72
112,HAL,2016-01-04,2022-12-30,0
113,BKR,2019-10-18,2022-12-30,12
114,SLB,2016-01-04,2022-12-30,0
115,XOM,2016-01-04,2022-12-30,180
116,MRO,2016-01-04,2022-12-30,0
117,PSX,2016-01-04,2022-12-30,0
118,DVN,2016-01-04,2022-12-30,0
119,HES,2016-01-04,2022-12-30,0
120,CTRA,2019-03-07,2022-12-30,11028
121,TRGP,2016-01-04,2022-12-30,60
122,KMI,2016-01-04,2022-12-30,108
123,PXD,2016-01-04,2022-12-30,60
124,APA,2016-01-04,2022-12-30,0
125,EQT,2016-01-04,2022-12-30,0
126,FANG,2016-01-04,2022-12-30,60
127,EOG,2016-01-04,2022-12-30,0
128,OXY,2016-01-04,2022-12-30,204
129,COP,2016-01-04,2022-12-30,0
130,CVX,2016-01-04,2022-12-30,24
131,WMB,2016-01-04,2022-12-30,24
132,OKE,2016-01-04,2022-12-30,72
133,MPC,2016-01-04,2022-12-30,0
134,VLO,2016-01-04,2022-12-30,0
135,PNC,2016-01-04,2022-12-30,12
136,TFC,2019-12-09,2022-12-30,12
137,FRC,2016-01-04,2022-12-30,48
138,ZION,2016-01-04,2022-12-30,12
139,CMA,2016-01-04,2022-12-30,36
140,JPM,2016-01-04,2022-12-30,0
141,SIVB,2016-01-04,2022-12-30,0
142,SBNY,2016-01-04,2022-12-30,0
143,MTB,2016-01-04,2022-12-30,48
144,C,2016-01-04,2022-12-30,0
145,FITB,2016-01-04,2022-12-30,0
146,BAC,2016-01-04,2022-12-30,0
147,HBAN,2016-01-04,2022-12-30,60
148,CFG,2016-01-04,2022-12-30,744
149,WFC,2016-01-04,2022-12-30,0
150,RF,2016-01-04,2022-12-30,0
151,KEY,2016-01-04,2022-12-30,0
152,USB,2016-01-04,2022-12-30,12
153,STT,2016-01-04,2022-12-30,192
154,IVZ,2016-01-04,2022-12-30,12
155,GS,2016-01-04,2022-12-30,0
156,CBOE,2016-01-04,2022-12-30,0
157,BLK,2016-01-04,2022-12-30,0
158,MSCI,2016-01-04,2022-12-30,180
159,NTRS,2016-01-04,2022-12-30,12
160,BEN,2016-01-04,2022-12-30,84
161,FDS,2016-01-04,2022-12-30,0
162,ICE,2016-01-04,2022-12-30,0
163,CME,2016-01-04,2022-12-30,12
164,TROW,2016-01-04,2022-12-30,216
165,MCO,2016-01-04,2022-12-30,0
166,SPGI,2016-05-27,2022-12-30,0
167,AMP,2016-01-04,2022-12-30,24
168,RJF,2016-01-04,2022-12-30,12
169,BK,2016-01-04,2022-12-30,12
170,MS,2016-01-04,2022-12-30,0
171,NDAQ,2016-01-04,2022-12-30,36
172,MKTX,2016-01-04,2022-12-30,0
173,SCHW,2016-01-04,2022-12-30,0
174,DFS,2016-01-04,2022-12-30,0
175,SYF,2016-01-04,2022-12-30,60
176,COF,2016-01-04,2022-12-30,0
177,AXP,2016-01-04,2022-12-30,0
178,MMC,2016-01-04,2022-12-30,2364
179,AON,2016-01-04,2022-12-30,48
180,TRV,2016-01-04,2022-12-30,84
181,GL,2019-08-12,2022-12-30,48
182,L,2016-01-04,2022-12-30,4344
183,PGR,2016-01-04,2022-12-30,504
184,PFG,2016-01-04,2022-12-30,264
185,RE,2016-01-04,2022-12-30,288
186,ALL,2016-01-04,2022-12-30,60
187,WTW,2016-01-04,2022-12-30,0
188,CB,2016-01-04,2022-12-30,276
189,AFL,2016-01-04,2022-12-30,0
190,MET,2016-01-04,2022-12-30,24
191,AJG,2016-01-04,2022-12-30,4188
192,AIZ,2016-01-04,2022-12-30,24
193,ACGL,2016-01-04,2022-12-30,1980
194,HIG,2016-01-04,2022-12-30,0
195,PRU,2016-01-04,2022-12-30,60
196,CINF,2016-01-04,2022-12-30,1776
197,BRO,2016-01-04,2022-12-30,8424
198,LNC,2016-01-04,2022-12-30,12
199,WRB,2016-01-04,2022-12-30,1332
200,AIG,2016-01-04,2022-12-30,0
201,MRNA,2018-12-20,2022-12-30,612
202,AMGN,2016-01-04,2022-12-30,0
203,VRTX,2016-01-04,2022-12-30,0
204,BIIB,2016-01-04,2022-12-30,60
205,REGN,2016-01-04,2022-12-30,48
206,ABBV,2016-01-04,2022-12-30,12
207,GILD,2016-01-04,2022-12-30,0
208,INCY,2016-01-04,2022-12-30,0
209,BDX,2016-01-04,2022-12-30,0
210,BSX,2016-01-04,2022-12-30,0
211,ALGN,2016-01-04,2022-12-30,0
212,EW,2016-01-04,2022-12-30,0
213,ABT,2016-01-04,2022-12-30,0
214,IDXX,2016-01-04,2022-12-30,324
215,TFX,2016-01-04,2022-12-30,1224
216,ZBH,2016-01-04,2022-12-30,24
217,COO,2016-01-04,2022-12-30,48
218,RMD,2016-01-04,2022-12-30,48
219,MDT,2016-01-04,2022-12-30,0
220,STE,2016-01-04,2022-12-30,936
221,SYK,2016-01-04,2022-12-30,0
222,HOLX,2016-01-04,2022-12-30,24
223,ISRG,2016-01-04,2022-12-30,0
224,DXCM,2016-01-04,2022-12-30,0
225,BAX,2016-01-04,2022-12-30,0
226,XRAY,2016-01-04,2022-12-30,396
227,CI,2016-01-04,2022-12-30,0
228,UNH,2016-01-04,2022-12-30,48
229,ABC,2016-01-04,2022-12-30,0
230,UHS,2016-01-04,2022-12-30,0
231,DGX,2016-01-04,2022-12-30,72
232,HSIC,2016-01-04,2022-12-30,24
233,ELV,2022-06-28,2022-12-30,0
234,MOH,2016-01-04,2022-12-30,24
235,CNC,2016-01-04,2022-12-30,0
236,HCA,2016-01-04,2022-12-30,0
237,CAH,2016-01-04,2022-12-30,0
238,DVA,2016-01-04,2022-12-30,36
239,MCK,2016-01-04,2022-12-30,0
240,HUM,2016-01-04,2022-12-30,0
241,CVS,2016-01-04,2022-12-30,48
242,LH,2016-01-04,2022-12-30,0
